title,communities,metric,paper_date,communities_name
Feature Denoising for Improving Adversarial Robustness@@@Feature Denoising,2,not available,2018-12-09,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Neural Architecture Transfer@@@NAT-M4,3,80.5%,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-xl,31,not available,2020-07-20,{'Michigan State University'}
Neural Architecture Transfer@@@NAT-M3,3,not available,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-l,31,not available,2020-07-20,{'Michigan State University'}
Neural Architecture Transfer@@@NAT-M2,3,not available,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-m,31,not available,2020-07-20,{'Michigan State University'}
Noisy Differentiable Architecture Search@@@NoisyDARTS-A,19,not available,2020-05-07,{'Xiaomi'}
Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L,2,not available,2020-04-04,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Neural Architecture Transfer@@@NAT-M1,3,not available,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-s,31,not available,2020-07-20,{'Michigan State University'}
GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-A,9,77.1%,2020-03-25,"{'The Chinese University of Hong Kong', 'Tsinghua University', 'SenseTime', 'University of Illinois at Urbana–Champaign', 'Beijing University of Posts and Telecommunications'}"
SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-A,19,76.9%,2019-08-16,{'Xiaomi'}
GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-B,9,76.8%,2020-03-25,"{'The Chinese University of Hong Kong', 'Tsinghua University', 'SenseTime', 'University of Illinois at Urbana–Champaign', 'Beijing University of Posts and Telecommunications'}"
MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-l,31,76.6%,2020-03-31,{'Michigan State University'}
Neural Architecture Search with GBDT@@@GBDT-NAS-3S,20,not available,2020-07-09,{'Microsoft'}
Semi-Supervised Neural Architecture Search@@@SemiNAS,20,not available,2020-02-24,{'Microsoft'}
Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S,2,not available,2020-04-04,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-B,19,76.3%,2019-08-16,{'Xiaomi'}
GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-C,9,76.2%,2020-03-25,"{'The Chinese University of Hong Kong', 'Tsinghua University', 'SenseTime', 'University of Illinois at Urbana–Champaign', 'Beijing University of Posts and Telecommunications'}"
A Generic Graph-based Neural Architecture Encoding Scheme for Predictor-based NAS@@@GATES,32,not available,2020-04-04,set()
SGAS: Sequential Greedy Architecture Search@@@SGAS,,,,set()
PC-DARTS: Partial Channel Connections for Memory-Efficient Architecture Search@@@PC-DARTS-ImagNet,4,not available,2019-07-12,"{'Tongji University', 'University of Central Florida', 'Shanghai Jiao Tong University', 'University of Texas at San Antonio', 'Huawei', 'Beihang University'}"
Single Path One-Shot Neural Architecture Search with Uniform Sampling@@@OneShot-S+,2,not available,2019-03-31,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-C,19,75.6%,2019-08-16,{'Xiaomi'}
AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search@@@AlphaX-1,6,not available,2019-03-26,"{'University of California, Berkeley', 'Facebook', 'Princeton University'}"
@@@Evo-NAS,,,,set()
MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-m,31,75.3%,2020-03-31,{'Michigan State University'}
ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware@@@ProxylesNAS,21,not available,2018-12-02,"{'Massachusetts Institute of Technology', 'Shanghai Jiao Tong University'}"
@@@GDAS,,,,set()
DARTS: Differentiable Architecture Search@@@DARTS,46,not available,2018-06-24,"{'Carnegie Mellon University', 'Google', 'University of Oxford'}"
MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-s,31,71.6%,2020-03-31,{'Michigan State University'}
MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-xs,31,66.7%,2020-03-31,{'Michigan State University'}
Once-for-All: Train One Network and Specialize it for Efficient Deployment@@@OFA w/ PS #75,21,not available,2019-08-26,"{'Massachusetts Institute of Technology', 'Shanghai Jiao Tong University'}"
SCAN: Learning to Classify Images without Labels@@@SCAN,33,not available,2020-05-25,set()
Self-labelling via simultaneous clustering and representation learning@@@SeLa,2,not available,2019-11-13,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Sharpness-Aware Minimization for Efficiently Improving Generalization@@@EfficientNet-L2-475 + SAM,40,88.61%,2020-10-03,{'Google'}
An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale@@@ViT-H/14,3,88.55%,2020-10-22,"{'Massachusetts Institute of Technology', 'Google'}"
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-L2,2,88.5%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Self-training with Noisy Student improves ImageNet classification@@@NoisyStudent (EfficientNet-L2),1,88.4%,2019-11-11,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale@@@ViT-L/16,3,87.76%,2020-10-22,"{'Massachusetts Institute of Technology', 'Google'}"
Big Transfer (BiT): General Visual Representation Learning@@@BiT-L (ResNet),3,87.54%,2019-12-24,"{'Massachusetts Institute of Technology', 'Google'}"
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B7,2,87.1%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Self-training with Noisy Student improves ImageNet classification@@@NoisyStudent (EfficientNet-B7),1,86.9%,2019-11-11,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B6,2,86.7%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Fixing the train-test resolution discrepancy@@@FixResNeXt-101 32x48d,2,86.4%,2019-06-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Self-training with Noisy Student improves ImageNet classification@@@NoisyStudent (EfficientNet-B6),1,86.4%,2019-11-11,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B5,2,86.4%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Self-training with Noisy Student improves ImageNet classification@@@NoisyStudent (EfficientNet-B5),1,86.1%,2019-11-11,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B4,2,85.9%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Circumventing Outliers of AutoAugment with Knowledge Distillation@@@KDforAA (EfficientNet-B8),4,85.8%,2020-03-25,"{'Tongji University', 'University of Central Florida', 'Shanghai Jiao Tong University', 'University of Texas at San Antonio', 'Huawei', 'Beihang University'}"
MaxUp: A Simple Way to Improve Generalization of Neural Network Training@@@Fix-EfficientNet-B8 (MaxUp + CutMix),34,85.8%,2020-02-20,{'University of Texas at Austin'}
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B8,2,85.7%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Adversarial Examples Improve Image Recognition@@@AdvProp (EfficientNet-B8),1+2,85.5%,2019-11-21,"{'The Chinese University of Hong Kong', 'Google', 'Cornell University', 'University of Michigan', 'University of Southern California', 'University of Oxford', 'Courant Institute of Mathematical Sciences', 'Microsoft', 'Huazhong University of Science and Technology', 'Tsinghua University', 'University College London', 'National University of Singapore', 'Carnegie Mellon University', 'University of California, Los Angeles', 'University of California, San Diego', 'University of North Carolina at Chapel Hill', ""Xi'an Jiaotong University"", 'Facebook', 'Stanford University', 'Johns Hopkins University', 'University of Cincinnati', 'New York University'}"
Circumventing Outliers of AutoAugment with Knowledge Distillation@@@KDforAA (EfficientNet-B7),4,85.5%,2020-03-25,"{'Tongji University', 'University of Central Florida', 'Shanghai Jiao Tong University', 'University of Texas at San Antonio', 'Huawei', 'Beihang University'}"
Exploring the Limits of Weakly Supervised Pretraining@@@ResNeXt-101 32x48d,2,85.4%,2018-05-02,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
